video_filename,site,array_size,distribution,number_reward,bout,flowerID,visit_order,visit_type,NOTES,,
20210623_0843,SPNC,5x4,uniform,20,67,6,1,,,,
20210623_0843,SPNC,5x4,uniform,20,67,1,2,,,,
20210623_0843,SPNC,5x4,uniform,20,67,2,3,,,,
20210623_0844,SPNC,5x4,uniform,20,68,10,1,,,,
20210623_0844,SPNC,5x4,uniform,20,68,14,2,,,,
20210623_0844,SPNC,5x4,uniform,20,68,13,3,,,,
20210623_0850,SPNC,5x4,uniform,20,69,10,1,,,,
20210623_0850,SPNC,5x4,uniform,20,69,9,2,,,,
20210623_0850,SPNC,5x4,uniform,20,69,8,3,,,,
20210623_0850,SPNC,5x4,uniform,20,69,7,4,,,,
20210623_0850,SPNC,5x4,uniform,20,69,11,5,,,,
20210623_0850,SPNC,5x4,uniform,20,69,16,6,,,,
20210623_0913,SPNC,5x4,uniform,20,70,6,1,,,,
20210623_0913,SPNC,5x4,uniform,20,70,11,2,,,,
20210623_0913,SPNC,5x4,uniform,20,70,17,3,,,,
20210623_0951,SPNC,5x4,uniform,20,71,20,1,,,,
20210623_0951,SPNC,5x4,uniform,20,71,19,2,,,,
20210623_0951,SPNC,5x4,uniform,20,71,18,3,,,,
20210623_0951,SPNC,5x4,uniform,20,71,16,4,,,,
20210623_1010,SPNC,5x4,uniform,20,72,13,1,,,,
20210623_1022,SPNC,5x4,uniform,20,73,14,1,,,,
20210623_1022,SPNC,5x4,uniform,20,73,13,2,,,,
20210623_1029,SPNC,5x4,uniform,20,74,6,1,,,,
20210623_1029,SPNC,5x4,uniform,20,74,7,2,,,,
20210623_1029,SPNC,5x4,uniform,20,74,13,3,,,,
20210623_1029,SPNC,5x4,uniform,20,74,10,4,,,,
20210623_1029,SPNC,5x4,uniform,20,74,3,5,,,,
20210623_1029,SPNC,5x4,uniform,20,74,2,6,,,,
20210623_1029,SPNC,5x4,uniform,20,74,5,7,,,,
20210623_1031,SPNC,5x4,uniform,20,75,12,1,,,,
20210623_1031,SPNC,5x4,uniform,20,75,11,2,,,,
20210623_1031,SPNC,5x4,uniform,20,75,16,3,,,,
20210623_1031,SPNC,5x4,uniform,20,75,18,4,,,,
20210623_1824,SPNC,5x4,uniform,20,76,6,1,,,,
20210623_1824,SPNC,5x4,uniform,20,76,11,2,,,,
20210623_1829,SPNC,5x4,uniform,20,77,1,1,,,,
20210623_1829,SPNC,5x4,uniform,20,77,2,2,,,,
20210623_1831,SPNC,5x4,uniform,20,78,18,1,,,,
20210623_1831,SPNC,5x4,uniform,20,78,13,2,,,,
20210623_1831,SPNC,5x4,uniform,20,78,12,3,,,,
20210623_1831,SPNC,5x4,uniform,20,78,11,4,,,,
20210623_1831,SPNC,5x4,uniform,20,78,17,5,,,,
20210623_1844,SPNC,5x4,uniform,20,79,10,1,,,,
20210623_1844,SPNC,5x4,uniform,20,79,8,2,,,,
20210623_1844,SPNC,5x4,uniform,20,79,3,3,,,,
20210623_1852,SPNC,5x4,uniform,20,80,18,1,,,,
20210623_1852,SPNC,5x4,uniform,20,80,14,2,,,,
20210623_1852,SPNC,5x4,uniform,20,80,13,3,,,,
20210623_1852,SPNC,5x4,uniform,20,80,8,4,,,,
20210623_1852,SPNC,5x4,uniform,20,80,17,5,,,,
20210623_1852,SPNC,5x4,uniform,20,80,12,6,,,,
20210623_1852,SPNC,5x4,uniform,20,80,7,7,,,,
20210623_1852,SPNC,5x4,uniform,20,80,2,8,,,,
20210623_1852,SPNC,5x4,uniform,20,80,5,9,,,,
20210623_1906,SPNC,5x4,uniform,20,81,10,1,,,,
20210623_1920,SPNC,5x4,uniform,20,82,15,1,,,,
20210623_1920,SPNC,5x4,uniform,20,82,10,2,,,,
20210623_1935,SPNC,5x4,uniform,20,83,5,1,,the (2) indicates that it's in a separate video,,
20210623_1935(2),SPNC,5x4,uniform,20,83,3,2,,,,
20210623_1935(2),SPNC,5x4,uniform,20,83,2,3,,,,
20210623_1935(2),SPNC,5x4,uniform,20,83,3,4,,,,
20210623_1951,SPNC,5x4,uniform,20,84,5,1,,,,
20210623_2003,SPNC,5x4,uniform,20,85,5,1,,,,
20210623_2003,SPNC,5x4,uniform,20,85,4,2,,,,
20210624_0926,SPNC,5x4,uniform,20,86,1,1,,,,
20210624_0926,SPNC,5x4,uniform,20,86,2,2,,,,
20210624_0942,SPNC,5x4,uniform,20,87,1,1,,,,
20210624_0942,SPNC,5x4,uniform,20,87,6,2,,,,
20210624_0946,SPNC,5x4,uniform,20,88,10,1,,,,
20210624_1000,SPNC,5x4,uniform,20,89,11,1,,,,
20210624_1000,SPNC,5x4,uniform,20,89,12,2,,,,
20210624_1000,SPNC,5x4,uniform,20,89,11,3,,,,
20210624_1000,SPNC,5x4,uniform,20,89,6,4,,,,
20210624_1003,SPNC,5x4,uniform,20,90,10,1,,,,
20210624_1013,SPNC,5x4,uniform,20,91,4,1,,,,
20210624_1013,SPNC,5x4,uniform,20,91,5,2,,,,
20210624_1014,SPNC,5x4,uniform,20,92,3,1,,,,
20210624_1014,SPNC,5x4,uniform,20,92,8,2,,,,
20210624_1014,SPNC,5x4,uniform,20,92,6,3,,,,
20210624_1014,SPNC,5x4,uniform,20,92,11,4,,,,
20210624_1014,SPNC,5x4,uniform,20,92,16,5,,,,
20210624_1014,SPNC,5x4,uniform,20,92,17,6,,,,
20210624_1020,SPNC,5x4,uniform,20,93,15,1,,,,
